RMSE,MAE,MSE,R2,Inference Time
29746.89933804779,11408.662110724368,884878020.2279482,0.9326742087573817,0.00024245748686236004
27974.85459186073,10954.357039071549,782592489.4357513,0.9404565856905118,0.0002264110154883806
34268.52232949064,12983.19864567544,1174331622.6467984,0.9106511814413057,0.00023740530014038086
32115.22191976668,12411.74457349973,1031387478.955862,0.921527061910132,0.0002725460501604302
31512.0822656474,14851.12221878548,993011328.7169296,0.9244469046688166,0.000242502536884574
27065.937482351397,10916.561450033769,732564971.7985543,0.9442629207240802,0.0002313779537067857
29668.641128860603,12458.454052695006,880228266.4331189,0.9330279844712813,0.0002615136462588643
33989.16016386809,12301.836228745911,1155263008.6450772,0.9121020136421498,0.0002314656279807867
25623.2478961756,11125.187898080469,656550832.7488673,0.9500464433567571,0.00023163959037425906
30276.002161683307,12273.917894796492,916636306.8942523,0.9302578850049079,0.00023916675600894663
30343.069529301283,11711.165299097236,920701868.4600121,0.9299485574557956,0.00023126186326492663
28309.73571089909,11811.52304961917,801441136.0209553,0.9390224896725382,0.00025484208450760954
25152.82050680544,10205.439403080754,632664379.4475724,0.9518638400280806,0.00023011793923932453
27959.463413940175,12195.21811025715,781731594.3954592,0.9405220867408708,0.00022938431695450183
29151.60542502276,11457.450681343369,849816098.8562165,0.9353418889854771,0.00023453249487766
26857.304237104945,10750.671686512735,721314790.8844153,0.9451188887946533,0.0002414206432741742
29243.181792107323,11802.398761807202,855163681.3262372,0.9349350190974257,0.00024056330669757931
29512.87357441411,13006.773638254735,871009706.6193507,0.9337293770015416,0.00022761107877243396
28203.797652527926,10794.803750502137,795454202.0247399,0.9394780045109661,0.0002278536558151245
26974.204744980558,10181.441841590125,727607721.6241317,0.9446400922468792,0.0002557524414949639
33240.56114248835,15128.781786999172,1104934905.0675063,0.9159312187050438,0.0002498068781786187
27831.350309163303,11226.379735708291,774584060.0313642,0.9410659056577115,0.00025702389173729473
28968.958586970955,13283.522206369782,839200561.6136383,0.9361495703019799,0.00023107161355573078
31467.889089842214,10720.051634341313,990228043.7706106,0.9246586704229443,0.00023078086764313454
27113.236984468094,11699.885417800497,735127619.7759286,0.9440679420956039,0.00023698806762695312
