RMSE,MAE,MSE,R2,Inference Time
82178.27407774335,40595.633511859814,6753268730.396705,0.5671092291186535,3.233003616333008e-05
73059.82859718728,39251.696958108965,5337738554.650385,0.6578460224327611,3.466092623197116e-05
76603.90860705747,42321.4758105844,5868158813.878413,0.623845593296156,3.344227717472957e-05
89311.3363355373,52166.46187194692,7976514798.039465,0.48869802495377124,2.4880482600285457e-05
175197.78246105264,79999.2116665832,30694262979.27033,-0.9675306422983971,3.5909616030179536e-05
91136.6689986916,49898.681136168096,8305892436.177074,0.4675846137485147,2.5623028094951924e-05
83432.80211252387,47047.40540097095,6961032468.347568,0.5537913813810208,3.13105949988732e-05
73581.302402485,40484.19855249823,5414208063.245945,0.652944256214596,3.347180439875676e-05
85785.60036031844,49206.83708981461,7359169229.180266,0.5282704468242013,3.96881470313439e-05
74198.10201476263,41860.6650057268,5505358342.593121,0.6471014390148233,2.7219222142146185e-05
87040.3294280974,48531.52744031624,7576018946.951718,0.51437017937757,3.030061721801758e-05
76237.77777198295,43779.87510418691,5812198759.610257,0.6274326845252771,2.1905825688288762e-05
85248.00856602268,47421.93666374547,7267222964.472675,0.534164287421685,2.794064008272611e-05
90865.68176948938,55756.46091053275,8256572123.434115,0.470746091405595,3.173985848060021e-05
71093.31926735125,40351.69539812672,5054260044.449536,0.6760172570908454,3.4119312579815204e-05
98036.73131622176,52582.9404463699,9611200687.169056,0.38391314774178464,2.4005376375638522e-05
69347.12297917134,37424.79459550103,4809023465.488315,0.6917371485912376,2.9364695915809044e-05
75645.33658348428,46054.054859783726,5722216946.828625,0.6332006019376282,2.3395905127892127e-05
93759.22677651267,56867.51507226183,8790792605.72953,0.436502064456014,2.2298299349271336e-05
89092.38656933099,48910.647943240285,7937453344.61911,0.49120190024112265,2.1526116591233474e-05
100459.6145558809,54346.15454395209,10092134156.716156,0.35308486758793745,2.827035463773287e-05
75032.70335090863,41981.31313857953,5629906572.145454,0.6391177823212668,3.3886249248798074e-05
74404.95815031054,34609.88486708451,5536097797.3494625,0.6451310115378223,4.0793712322528545e-05
69618.89169966578,41453.58030636158,4846790081.489793,0.689316273579871,2.7890902299147385e-05
64962.88478197289,34903.065814248504,4220176399.1958847,0.7294827900923977,2.3523917564978965e-05
88997.0987251821,50617.251243102306,7920483581.49981,0.49228967775030463,2.1685526921198917e-05
90969.88021592982,48191.69733484213,8275519106.500619,0.4695315722693111,4.764894338754507e-05
80277.7703658865,47240.70121403962,6444520414.918007,0.586900281663965,6.18283198429988e-05
83311.98174633872,48127.170032448135,6940886302.5022745,0.555082769242401,5.0410123971792366e-05
74665.54584685677,42215.164015717084,5574943736.60907,0.6426409509074772,5.676984786987305e-05
83682.42948658811,46612.890445558485,7002749004.777792,0.5511173128173789,4.116949668297401e-05
81402.21282052372,47711.154229345724,6626320252.077838,0.5752467439778377,5.595849110529973e-05
69810.93311059363,40089.907518068765,4873566381.771778,0.6875998879697078,2.4358309232271635e-05
71132.7853827045,40665.064654503556,5059873156.301899,0.675657451430236,2.878247774564303e-05
